snapshot,time_gyr,peak_a2a0,label
snapshot_000,0.0,0.0067,0
snapshot_001,0.0196,0.0064,0
snapshot_002,0.0391,0.0084,0
snapshot_003,0.0587,0.0076,0
snapshot_004,0.0782,0.0085,0
snapshot_005,0.0978,0.0076,0
snapshot_006,0.1173,0.0123,0
snapshot_007,0.1369,0.014,0
snapshot_008,0.1564,0.01,0
snapshot_009,0.176,0.0125,0
snapshot_010,0.1956,0.0141,0
snapshot_011,0.2151,0.0139,0
snapshot_012,0.2347,0.0122,0
snapshot_013,0.2542,0.0125,0
snapshot_014,0.2738,0.0159,0
snapshot_015,0.2933,0.0119,0
snapshot_016,0.3129,0.008,0
snapshot_017,0.3324,0.0082,0
snapshot_018,0.352,0.0073,0
snapshot_019,0.3716,0.0082,0
snapshot_020,0.3911,0.0102,0
snapshot_021,0.4107,0.0077,0
snapshot_022,0.4302,0.0134,0
snapshot_023,0.4498,0.0129,0
snapshot_024,0.4693,0.0167,0
snapshot_025,0.4889,0.0142,0
snapshot_026,0.5085,0.0182,0
snapshot_027,0.528,0.0275,0
snapshot_028,0.5476,0.0245,0
snapshot_029,0.5671,0.0218,0
snapshot_030,0.5867,0.0195,0
snapshot_031,0.6062,0.0136,0
snapshot_032,0.6258,0.0122,0
snapshot_033,0.6453,0.0132,0
snapshot_034,0.6649,0.0131,0
snapshot_035,0.6845,0.017,0
snapshot_036,0.704,0.0167,0
snapshot_037,0.7236,0.0186,0
snapshot_038,0.7431,0.024,0
snapshot_039,0.7627,0.022,0
snapshot_040,0.7822,0.0197,0
snapshot_041,0.8018,0.0204,0
snapshot_042,0.8213,0.018,0
snapshot_043,0.8409,0.0156,0
snapshot_044,0.8605,0.0134,0
snapshot_045,0.88,0.0104,0
snapshot_046,0.8996,0.0123,0
snapshot_047,0.9191,0.0154,0
snapshot_048,0.9387,0.0167,0
snapshot_049,0.9582,0.0221,0
snapshot_050,0.9778,0.0183,0
snapshot_051,0.9973,0.0161,0
snapshot_052,1.0169,0.0148,0
snapshot_053,1.0365,0.0124,0
snapshot_054,1.056,0.0202,0
snapshot_055,1.0756,0.0256,0
snapshot_056,1.0951,0.0321,0
snapshot_057,1.1147,0.0335,0
snapshot_058,1.1342,0.0368,0
snapshot_059,1.1538,0.029,0
snapshot_060,1.1734,0.0303,0
snapshot_061,1.1929,0.0215,0
snapshot_062,1.2125,0.0231,0
snapshot_063,1.232,0.0252,0
snapshot_064,1.2516,0.0305,0
snapshot_065,1.2711,0.0303,0
snapshot_066,1.2907,0.0286,0
snapshot_067,1.3102,0.028,0
snapshot_068,1.3298,0.0256,0
snapshot_069,1.3494,0.0228,0
snapshot_070,1.3689,0.0214,0
snapshot_071,1.3885,0.0289,0
snapshot_072,1.408,0.0251,0
snapshot_073,1.4276,0.0219,0
snapshot_074,1.4471,0.0203,0
snapshot_075,1.4667,0.0217,0
snapshot_076,1.4862,0.0217,0
snapshot_077,1.5058,0.019,0
snapshot_078,1.5254,0.0186,0
snapshot_079,1.5449,0.0202,0
snapshot_080,1.5645,0.0215,0
snapshot_081,1.584,0.0211,0
snapshot_082,1.6036,0.0202,0
snapshot_083,1.6231,0.0231,0
snapshot_084,1.6427,0.0261,0
snapshot_085,1.6622,0.0237,0
snapshot_086,1.6818,0.0194,0
snapshot_087,1.7014,0.017,0
snapshot_088,1.7209,0.0198,0
snapshot_089,1.7405,0.025,0
snapshot_090,1.76,0.0264,0
snapshot_091,1.7796,0.0253,0
snapshot_092,1.7991,0.0212,0
snapshot_093,1.8187,0.0189,0
snapshot_094,1.8382,0.0192,0
snapshot_095,1.8578,0.0228,0
snapshot_096,1.8774,0.0206,0
snapshot_097,1.8969,0.0189,0
snapshot_098,1.9165,0.0207,0
snapshot_099,1.936,0.0165,0
snapshot_100,1.9556,0.0148,0
snapshot_101,1.9751,0.0227,0
snapshot_102,1.9947,0.0171,0
snapshot_103,2.0143,0.0173,0
snapshot_104,2.0338,0.0172,0
snapshot_105,2.0534,0.0195,0
snapshot_106,2.0729,0.0233,0
snapshot_107,2.0925,0.0217,0
snapshot_108,2.112,0.0226,0
snapshot_109,2.1316,0.0255,0
snapshot_110,2.1511,0.0243,0
snapshot_111,2.1707,0.0231,0
snapshot_112,2.1903,0.0247,0
snapshot_113,2.2098,0.0281,0
snapshot_114,2.2294,0.0277,0
snapshot_115,2.2489,0.0202,0
snapshot_116,2.2685,0.023,0
snapshot_117,2.288,0.0237,0
snapshot_118,2.3076,0.0204,0
snapshot_119,2.3271,0.0229,0
snapshot_120,2.3467,0.0209,0
snapshot_121,2.3663,0.0206,0
snapshot_122,2.3858,0.024,0
snapshot_123,2.4054,0.0231,0
snapshot_124,2.4249,0.0214,0
snapshot_125,2.4445,0.0267,0
snapshot_126,2.464,0.0226,0
snapshot_127,2.4836,0.0212,0
snapshot_128,2.5031,0.0176,0
snapshot_129,2.5227,0.0213,0
snapshot_130,2.5423,0.0236,0
snapshot_131,2.5618,0.024,0
snapshot_132,2.5814,0.0207,0
snapshot_133,2.6009,0.0229,0
snapshot_134,2.6205,0.0229,0
snapshot_135,2.64,0.0236,0
snapshot_136,2.6596,0.0254,0
snapshot_137,2.6792,0.025,0
snapshot_138,2.6987,0.0282,0
snapshot_139,2.7183,0.0251,0
snapshot_140,2.7378,0.0254,0
snapshot_141,2.7574,0.0226,0
snapshot_142,2.7769,0.0246,0
snapshot_143,2.7965,0.0278,0
snapshot_144,2.816,0.0252,0
snapshot_145,2.8356,0.0261,0
snapshot_146,2.8552,0.0312,0
snapshot_147,2.8747,0.0367,0
snapshot_148,2.8943,0.0346,0
snapshot_149,2.9138,0.0356,0
snapshot_150,2.9334,0.037,0
snapshot_151,2.9529,0.0326,0
snapshot_152,2.9725,0.0357,0
snapshot_153,2.992,0.0363,0
snapshot_154,3.0116,0.0357,0
snapshot_155,3.0312,0.0379,0
snapshot_156,3.0507,0.0413,0
snapshot_157,3.0703,0.0444,0
snapshot_158,3.0898,0.0374,0
snapshot_159,3.1094,0.0321,0
snapshot_160,3.1289,0.0326,0
snapshot_161,3.1485,0.0342,0
snapshot_162,3.168,0.0326,0
snapshot_163,3.1876,0.0347,0
snapshot_164,3.2072,0.0357,0
snapshot_165,3.2267,0.0323,0
snapshot_166,3.2463,0.0337,0
snapshot_167,3.2658,0.0363,0
snapshot_168,3.2854,0.0371,0
snapshot_169,3.3049,0.0392,0
snapshot_170,3.3245,0.0318,0
snapshot_171,3.344,0.0331,0
snapshot_172,3.3636,0.0295,0
snapshot_173,3.3832,0.0318,0
snapshot_174,3.4027,0.0358,0
snapshot_175,3.4223,0.0377,0
snapshot_176,3.4418,0.038,0
snapshot_177,3.4614,0.0355,0
snapshot_178,3.4809,0.0359,0
snapshot_179,3.5005,0.0351,0
snapshot_180,3.5201,0.0409,0
snapshot_181,3.5396,0.0407,0
snapshot_182,3.5592,0.0334,0
snapshot_183,3.5787,0.0339,0
snapshot_184,3.5983,0.0333,0
snapshot_185,3.6178,0.0381,0
snapshot_186,3.6374,0.0403,0
snapshot_187,3.6569,0.0411,0
snapshot_188,3.6765,0.0383,0
snapshot_189,3.6961,0.0371,0
snapshot_190,3.7156,0.0393,0
snapshot_191,3.7352,0.0394,0
snapshot_192,3.7547,0.0444,0
snapshot_193,3.7743,0.0482,0
snapshot_194,3.7938,0.0413,0
snapshot_195,3.8134,0.0416,0
snapshot_196,3.8329,0.0391,0
snapshot_197,3.8525,0.0411,0
snapshot_198,3.8721,0.0403,0
snapshot_199,3.8916,0.0422,0
snapshot_200,3.9112,0.0492,0
snapshot_201,3.9307,0.0491,0
snapshot_202,3.9503,0.048,0
snapshot_203,3.9698,0.0428,0
snapshot_204,3.9894,0.0415,0
snapshot_205,4.0089,0.0447,0
snapshot_206,4.0285,0.047,0
snapshot_207,4.0481,0.0492,0
snapshot_208,4.0676,0.0468,0
snapshot_209,4.0872,0.0485,0
snapshot_210,4.1067,0.0491,0
snapshot_211,4.1263,0.0498,0
snapshot_212,4.1458,0.0485,0
snapshot_213,4.1654,0.0447,0
snapshot_214,4.185,0.0469,0
snapshot_215,4.2045,0.0462,0
snapshot_216,4.2241,0.0484,0
snapshot_217,4.2436,0.0469,0
snapshot_218,4.2632,0.0548,0
snapshot_219,4.2827,0.0555,0
snapshot_220,4.3023,0.0541,0
snapshot_221,4.3218,0.0555,0
snapshot_222,4.3414,0.0559,0
snapshot_223,4.361,0.0532,0
snapshot_224,4.3805,0.0509,0
snapshot_225,4.4001,0.0503,0
snapshot_226,4.4196,0.059,0
snapshot_227,4.4392,0.0545,0
